,password,entropy
0,take.handling.survivor.cold.portfolio,0.9752458119858946
1,idly.math.breach.plausibly.reprogram,0.964513064770361
2,flashily.headcount.wick.clump.garage,0.9750064481938551
3,jaundice.street.tactless.crawfish.moonlike,0.9702311823686465
4,patronize.rescuer.viselike.bonanza.spur,0.9701899802762144
5,Crudely.Celibate.Cesspool.Animation.Catchy,0.9565180350539845
6,Taste.Denture.Settle.Unnerving.Gallon,0.9797311179248438
7,Armrest.Verbally.Defection.Publisher.Parcel,0.9727934295077815
8,Survival.Yeast.Similarly.Crane.Retaining,0.9676253376313773
9,Crusader.Multitask.Confound.External.Contour,0.9740551798715545
10,daybed!drearily!lumpish!happier!capricorn,0.9658575404842672
11,rogue!dealmaker!specked!crawfish!unfocused,0.9766395296177828
12,bounding!captive!upriver!retouch!relearn,0.9649952329626063
13,swapping!maroon!ferris!shaping!sprung,0.9659660908733245
14,enviably!blob!silica!banish!register,0.9707833691909417
15,Carnival!Coping!Coma!Napkin!Nurture,0.9761696060037551
16,Shrimp!Sheep!Device!Shuffling!Badland,0.9793525569546891
17,Dolphin!Overnight!Deprive!Numeral!Directory,0.9734928611544709
18,Engraver!Catchy!Distinct!Overpay!Frenzy,0.9803837247045455
19,Superjet!Unripe!Uncivil!Acquaint!Blot,0.9799599847284315
20,uplifted-raven-purebred-splicing-siesta,0.9753284162332913
21,mortuary-broadside-bling-anatomy-gander,0.9701555893239231
22,gala-proposal-disarm-liability-engraved,0.9627836214387021
23,askew-domelike-food-constrict-open,0.9753393185975193
24,stifle-acronym-scoff-urchin-visible,0.9712223327766433
25,Ice-Capital-Slapstick-Service-Earthen,0.9790720339929976
26,Predefine-Sternness-Affair-Slapping-Overexert,0.9836311253253385
27,Employee-Deforest-Unpopular-Voting-Predict,0.9801366372536853
28,Garnish-Frivolous-Turban-Unrefined-Grip,0.9816251151626345
29,Projector-Smoky-Echo-Harmonics-Bucked,0.9793209509654901
30,dropbox@desecrate@unisexual@showman@itinerary,0.9781850712335839
31,uniformed@overbuilt@conjuror@desktop@mushroom,0.9742890633276163
32,glitzy@ankle@spinster@stylist@shakable,0.970955511311349
33,repugnant@wand@bundle@deskbound@gestate,0.9688032902683703
34,unbalance@purgatory@reminder@basics@regulator,0.977788358976518
35,Fanfare@Studied@Imbecile@Duh@Reprint,0.9692989644254602
36,Smolder@Brunette@Convent@Casino@Mumbo,0.9706471572420534
37,Prominent@Deny@Pedicure@Flail@Groom,0.9784485145596203
38,Kilobyte@Enable@Pedicure@Grandpa@Giant,0.9670947001787046
39,Sleep@Upright@Gnarly@Flagship@Mauve,0.969662750570978
40,cornflakeguruemoteblurredrepulsion,0.9506037305033183
41,stonewallsculptorvineyardlatherdivisible,0.9579410666041152
42,brunetteunthawedchampiondeceitslum,0.9628831098362293
43,carmakermuzzlerefoldmoralityuncaring,0.9537209854245836
44,reptileembezzlecomfortcarrymountable,0.9630975438321423
45,JunkiePungentConcealQualityArdently,0.9809923797888763
46,UniformedUngreasedEngorgeHandsetSnowman,0.9606688421112566
47,YonderOverstuffKinfolkMakeoverSwimmer,0.9680367774356262
48,AttemptOccupyHandbrakeBarretteSubtitle,0.9766832637827558
49,ExerciserWinningsConstructFootholdChili,0.9756542952909013
