,password,entropy
0,wherefore-ceremonious-brook,0.9500939046237477
1,incessantlyselfishcabbage,0.947596010677151
2,shingly-strong-salts,0.9677565186474612
3,courteouslycarefulbells,0.9379269081755097
4,such.lonely.parleying,0.9602179939389256
5,behind-depressing-legs,0.9636241285444093
6,loudly.diaphanous.places,0.9628884301974004
7,faintly!mute!fellow,0.948715842009879
8,stealthily-usual-death,0.9551966652871768
9,really@immoderate@blend,0.9588359410968729
10,severelyquickattitudes,0.9439260095732427
11,shortly@oldest@ends,0.9418901351076142
12,unrestrainedly@worsted@mile,0.9595767668384632
13,half-green-touch,0.9614069148817657
14,unawares-fearful-wasp,0.9671722499718636
15,even@bright@stillness,0.9609279602163737
16,fullynoblecreaking,0.9693798740887121
17,bitter@interesting@beard,0.949660450568326
18,instinctivelyseventhrepast,0.9487321218508126
19,distinctly!sullen!strangeness,0.9537185220443519
20,only@sober@transport,0.9685678488524337
21,i’ve!oldest!ignorance,0.9698291037806838
22,darkly!terrified!mystery,0.9119667933596798
23,charminglyfeveredhoofs,0.956858936707541
24,tinklytyllwitticism,0.9392775051667177
25,whence!trellised!glories,0.9434912482501764
26,daily-scarce-asthma,0.9416889106226893
27,hastily.conceivable.guests,0.9590917918971018
28,past-unnatural-pusillanimous,0.960624041111536
29,superficially!propitious!trowsers,0.9378439713318509
30,till!fated!turn,0.9642295729959243
31,jingly@past@moan,0.9695205914216722
32,lovingly.impossible.glow,0.9652660349454252
33,compactly!dusty!crumpetty,0.9073077962938259
34,tightly-ugliest-patties,0.9077877194169075
35,much@minor@carp,0.9642574382070137
36,vividly@midnight@cousins,0.9521930565152522
37,gravely!stainless!rays,0.9445364878107424
38,downward-small-bore,0.9723142874519997
39,extremely!ruder!ayahs,0.9573401342718277
40,beforedullerunrest,0.866350408976797
41,bitter!foolish!cups,0.955122059145674
42,awhile@harder@glare,0.9490415249643745
43,courteously-irish-shrouds,0.9726076180775044
44,tailyincipientcheese,0.9552238227347258
45,half.lowest.sages,0.9471855077711545
46,plainlyancientbrothers,0.9512069824807675
47,just-earlier-yore,0.9121180885448041
48,ever@nearer@monarch,0.9718414326187682
49,immensely@distasteful@idols,0.973596026747412
50,ryghtegoodlypaws,0.9528029831207498
51,aptly!twirly!battle,0.9703586881848587
52,downward.twirly.beak,0.9650441599551012
53,strongly@myriad@secret,0.9666704693769812
54,tilltoastedkettle,0.9040490388159618
55,less!obsequious!number,0.958747202691094
56,frequently.possible.fancies,0.9708880595885436
57,away@ecstatic@study,0.9485621228094554
58,east.obese.human,0.964739918995235
59,midnightcapabletint,0.9385641942623202
60,absolutely!underground!breast,0.9205770350211835
61,late@nobler@mice,0.9490021830383183
62,incredibly.attentive.grandson,0.9701014043944938
63,nevertheless-unheard-gargle,0.9679545783435909
64,furiously-reckless-abode,0.9648330215873351
65,whereforeperplexingcamera,0.9572978922308795
66,through!prepossessing!city,0.9708848044944407
67,coldly.right.death,0.9660952626235151
68,horriblydreamymanners,0.960370109514954
69,tolerably-scroobious-satisfaction,0.9802732154473957
70,frequentlypaleswede,0.9425963518818867
71,guiltily@grassy@barrels,0.9487522556465178
72,lovingly-enormous-pyramidalis,0.9599515355210835
73,wide@rugged@trespassing,0.9665576053769993
74,very@unwell@strings,0.9624422434878924
75,downforeignpobbles,0.9528515546771347
76,violently-fizzgiggious-loss,0.9669353769991705
77,consequently!immense!chutney,0.9595077775283606
78,jingly@deemest@behavior,0.9681313545831953
79,humbly!grim!ibis,0.9681852514315554
80,ever.desolate.raspberry,0.9644784296331754
81,more-tight-father,0.9675178972095729
