,password,entropy
0,hot!eyes,0.9547136109964929
1,syllogistic!abode,0.9755554829390326
2,fourth.sceptic,0.9277526608840747
3,feebleturtle,0.9381041390555818
4,younglady,0.7834683943002937
5,oldperson,0.9262824592367186
6,brownwaterproof,0.8954931528455573
7,old@man,0.9056487428682338
8,old.man,0.9100714166678932
9,barbary@ape,0.9181951177188429
10,wild@light,0.9434283903065471
11,valuable@person,0.9758486856612544
12,old!person,0.8927305939285018
13,long@tail,0.7955210795401748
14,verywhiskers,0.8971828682799554
15,new-life,0.957195148137127
16,utmost!rest,0.9509884802240297
17,old@xerxes,0.9526317087493162
18,properair,0.9101739159758997
19,glad.surprise,0.9632639790706962
20,secret@none,0.9714748880735091
21,simple!hen,0.9028459408291458
22,merry!light,0.9281143742001229
23,little-egg,0.9182367899263735
24,sanguinary.sound,0.945380583041372
25,delirious@pain,0.9553556210208511
26,lonely.wood,0.9170475924872852
27,forgotten.dream,0.9696749256713186
28,latin!marble,0.9356074897832262
29,very.room,0.9189371609079199
30,perfect!nutcracker,0.965448634770533
31,bluebottle,0.9434685479682511
32,blamble-lands,0.9339764747452926
33,passionate@flowers,0.9620583836003692
34,unpitying-light,0.8735610555996691
35,perpendicular.slopes,0.9485660364006442
36,plumvoices,0.9228375526678181
37,delirious@fence,0.9631702316572806
38,midmost.fight,0.9499262142493069
39,brokengold,0.9292005318968816
40,whatsoever.wells,0.9662372092828487
41,scared.dullard,0.9238971771604424
42,crimsonframe,0.950078510948526
43,threadbare!theme,0.9616768865142222
44,soundest-love,0.9334711322371153
45,long-legs,0.9515785592829618
46,neat@train,0.9368163833366543
47,troubledtrees,0.8861462985914055
48,evil@o’,0.9366079595586333
49,young.smile,0.8483576260291777
50,mysticbitter,0.9396481293442429
51,oldman,0.8928341117665511
52,trustful!patience,0.9320356109058655
53,sad.tape,0.9619175794905672
54,childish.form,0.9193786868387855
55,happier.boy,0.9217480639619303
56,old-person,0.8925623189996469
57,old!person,0.8927305939285018
