,password,entropy
0,"fIsh,Yu",0.9495419908896158
1,Yu-gobY,0.9353537450361086
2,fIsh-yurOu,0.9627066885903173
3,yuleI_pOrgy,0.932333974256421
4,SebastodeSruberrimus-fIsh,0.9800917181096277
5,yuLei.mudsKipper,0.977328893825972
6,yU-fIsh,0.9650612191569011
7,yulEi+mudskippeR,0.9715563375774616
8,blackseabAss.fIsh,0.9541487273219736
9,"pouT,Yurou",0.9372985835741102
10,yU_fi$H,0.9462559651126786
11,cypRinod0nt_Yu,0.9631486344427147
12,fIsh-Yu,0.9470652268103812
13,"fisH,no&th3rn$3@robiN",0.9776357482839162
14,PacIficcod-fI$h,0.9141999136113229
15,Yu&0u&C@&a$s!usvuLg@&!s,0.9789369873381667
16,Sc!aenidf!sh-fIsh,0.9765578362458027
17,yul3I.f!$H,0.9528252845818643
18,"fI$h,burRfish",0.9804766654808016
19,Yu&dRiftf!$h,0.959873148878972
